date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2024-02-23,Bundesliga,Matchweek 23,Home,W,2.0,1.0,Mainz 05,1.1,1.1,67.0,17.0,7.0,1.0,0,0,Bayer Leverkusen
2024-03-03,Bundesliga,Matchweek 24,Away,W,2.0,0.0,Köln,1.5,1.0,77.0,17.0,5.0,2.0,0,0,Bayer Leverkusen
2024-03-07,Europa Lg,Round of 16,Away,D,2.0,2.0,az Qarabağ,1.3,1.8,66.0,10.0,4.0,0.0,0,0,Bayer Leverkusen
2024-03-10,Bundesliga,Matchweek 25,Home,W,2.0,0.0,Wolfsburg,2.1,0.2,76.0,19.0,8.0,1.0,0,0,Bayer Leverkusen
2024-03-14,Europa Lg,Round of 16,Home,W,3.0,2.0,az Qarabağ,4.1,1.1,72.0,33.0,8.0,0.0,0,0,Bayer Leverkusen
2024-03-17,Bundesliga,Matchweek 26,Away,W,3.0,2.0,Freiburg,2.3,0.9,67.0,19.0,7.0,1.0,0,0,Bayer Leverkusen
2024-03-30,Bundesliga,Matchweek 27,Home,W,2.0,1.0,Hoffenheim,3.1,0.8,67.0,34.0,11.0,1.0,0,0,Bayer Leverkusen
2024-04-03,DFB-Pokal,Semi-finals,Home,W,4.0,0.0,Düsseldorf,,,72.0,22.0,8.0,,1,1,Bayer Leverkusen
2024-04-06,Bundesliga,Matchweek 28,Away,W,1.0,0.0,Union Berlin,2.8,0.3,65.0,19.0,7.0,1.0,1,1,Bayer Leverkusen
2024-04-11,Europa Lg,Quarter-finals,Home,W,2.0,0.0,eng West Ham,2.3,0.2,72.0,33.0,11.0,0.0,0,0,Bayer Leverkusen
2024-04-14,Bundesliga,Matchweek 29,Home,W,5.0,0.0,Werder Bremen,3.2,0.7,56.0,19.0,9.0,0.0,1,1,Bayer Leverkusen
2024-04-18,Europa Lg,Quarter-finals,Away,D,1.0,1.0,eng West Ham,1.1,1.5,57.0,9.0,2.0,0.0,0,0,Bayer Leverkusen
2024-04-21,Bundesliga,Matchweek 30,Away,D,1.0,1.0,Dortmund,1.1,0.5,52.0,13.0,3.0,3.0,0,0,Bayer Leverkusen
2024-04-27,Bundesliga,Matchweek 31,Home,D,2.0,2.0,Stuttgart,1.4,1.7,49.0,14.0,6.0,2.0,0,0,Bayer Leverkusen
2024-05-02,Europa Lg,Semi-finals,Away,W,2.0,0.0,it Roma,2.0,1.5,46.0,19.0,4.0,0.0,0,0,Bayer Leverkusen
2024-05-05,Bundesliga,Matchweek 32,Away,W,5.0,1.0,Eint Frankfurt,2.7,1.9,45.0,7.0,4.0,0.0,2,2,Bayer Leverkusen
2024-05-09,Europa Lg,Semi-finals,Home,D,2.0,2.0,it Roma,2.8,2.1,59.0,32.0,13.0,1.0,0,0,Bayer Leverkusen
2024-05-12,Bundesliga,Matchweek 33,Away,W,5.0,0.0,Bochum,4.2,0.3,67.0,28.0,9.0,1.0,1,1,Bayer Leverkusen
2024-05-18,Bundesliga,Matchweek 34,Home,W,2.0,1.0,Augsburg,2.4,1.2,65.0,20.0,8.0,0.0,0,0,Bayer Leverkusen
2023-08-12,DFB-Pokal,Round of 64,Away,W,4,0,TSG Balingen,,,69.0,24.0,10.0,,0,0,Stuttgart
2023-08-19,Bundesliga,Matchweek 1,Home,W,5,0,Bochum,3.0,0.8,60.0,21.0,9.0,0.0,0,0,Stuttgart
2023-08-25,Bundesliga,Matchweek 2,Away,L,1,5,RB Leipzig,1.1,1.8,46.0,9.0,3.0,0.0,0,0,Stuttgart
2023-09-02,Bundesliga,Matchweek 3,Home,W,5,0,Freiburg,1.7,1.0,48.0,13.0,6.0,0.0,0,0,Stuttgart
2023-09-16,Bundesliga,Matchweek 4,Away,W,3,1,Mainz 05,1.6,0.9,60.0,15.0,6.0,1.0,0,0,Stuttgart
2023-09-22,Bundesliga,Matchweek 5,Home,W,3,1,Darmstadt 98,2.3,0.2,58.0,18.0,11.0,0.0,0,0,Stuttgart
